address,bathrooms,country,detailedType_typology,detailedType_subTypology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,hasParkingSpace,parkingSpaceIncluded,parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts_subtitle,suggestedTexts_title,thumbnail,url,geopoint
ana de Austria,2,es,flat,,9590,Hortaleza,True,03685,4,False,False,True,True,True,40.49478,-3.656124,Madrid,Sanchinarro,False,21,rent,True,True,,1600.0,13.0,8.3018596E7,flat,Madrid,3,False,128.0,good,"Sanchinarro, Madrid",Piso en ana de Austria,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/90/c2/612717888.jpg,https://www.idealista.com/inmueble/83018596/,POINT(-3.656124 40.49478)
JULIO PALACIOS,4,es,flat,,7287,Fuencarral,True,03672,2,False,False,True,True,True,40.4816033,-3.6925765,Madrid,La Paz,False,21,rent,True,True,,3300.0,13.0,8.3017704E7,flat,Madrid,5,False,260.0,good,"La Paz, Madrid",Piso en JULIO PALACIOS,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1f/7e/cc/612719033.jpg,https://www.idealista.com/inmueble/83017704/,POINT(-3.6925765 40.4816033)
embajadores,1,es,flat,studio,2260,Arganzuela,True,03732,2,False,False,True,True,True,40.3974936,-3.6952345,Madrid,Chopera,False,25,rent,,,,980.0,23.0,8.3090649E7,studio,Madrid,0,False,42.0,good,"Chopera, Madrid",Estudio en embajadores,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/14/7d/bc/611386619.jpg,https://www.idealista.com/inmueble/83090649/,POINT(-3.6952345 40.3974936)
jesús del Valle,2,es,flat,,724,Centro,True,03969,2,False,False,True,True,True,40.4229785,-3.7062256,Madrid,Malasaña-Universidad,False,25,rent,,,,1450.0,15.0,8.3229901E7,flat,Madrid,2,False,96.0,good,"Malasaña-Universidad, Madrid",Piso en jesús del Valle,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/b6/ae/613994396.jpg,https://www.idealista.com/inmueble/83229901/,POINT(-3.7062256 40.4229785)
sanchez pacheco,1,es,flat,,4467,Chamartín,True,03745,3,False,False,True,True,True,40.4475517,-3.670416,Madrid,Ciudad Jardín,False,23,rent,True,False,50.0,900.0,18.0,8.3070744E7,flat,Madrid,1,False,50.0,good,"Ciudad Jardín, Madrid",Piso en sanchez pacheco,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/03/53/c4/611001818.jpg,https://www.idealista.com/inmueble/83070744/,POINT(-3.670416 40.4475517)
del Príncipe de Vergara,2,es,flat,penthouse,5194,Chamartín,True,03951,4,False,False,True,True,True,40.458941,-3.6780557,Madrid,Bernabéu-Hispanoamérica,False,24,rent,,,,1350.0,15.0,8.3225132E7,penthouse,Madrid,2,False,90.0,good,"Bernabéu-Hispanoamérica, Madrid",Ático en del Príncipe de Vergara,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c6/49/d0/613895225.jpg,https://www.idealista.com/inmueble/83225132/,POINT(-3.6780557 40.458941)
de Burgos,2,es,flat,,7576,Chamartín,True,04018,5,False,False,True,True,True,40.4812783,-3.675764,Madrid,Castilla,False,25,rent,True,True,,1400.0,16.0,8.3254053E7,flat,Madrid,2,False,85.0,good,"Castilla, Madrid",Piso en de Burgos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ed/c9/3d/614486437.jpg,https://www.idealista.com/inmueble/83254053/,POINT(-3.675764 40.4812783)
calle de Sánchez Barcaiztegui,1,es,flat,,2989,Retiro,True,,1,False,False,True,False,False,40.4054104,-3.6720894,Madrid,Pacífico,False,32,rent,,,,1200.0,13.0,3.8257024E7,flat,Madrid,3,False,92.0,good,"Pacífico, Madrid",Piso en calle de Sánchez Barcaiztegui,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/ac/cd/235378692.jpg,https://www.idealista.com/inmueble/38257024/,POINT(-3.6720894 40.4054104)
"paseo del Pintor Rosales, Madrid",2,es,flat,,2123,Moncloa,True,G20624,1,False,False,True,False,False,40.4310897,-3.7205887,Madrid,Argüelles,False,39,rent,,,,1950.0,20.0,8.3340512E7,flat,Madrid,3,False,100.0,good,"Argüelles, Madrid","Piso en paseo del Pintor Rosales, Madrid",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/20/d7/ac/616136272.jpg,https://www.idealista.com/inmueble/83340512/,POINT(-3.7205887 40.4310897)
"travesía de Trujillos, Madrid",1,es,flat,penthouse,337,Centro,True,SGG129017,4,False,False,True,False,False,40.4193377,-3.7060216,Madrid,Sol,False,21,rent,,,,1400.0,15.0,8.3364787E7,penthouse,Madrid,1,False,91.0,good,"Sol, Madrid","Ático en travesía de Trujillos, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/e1/94/616601260.jpg,https://www.idealista.com/inmueble/83364787/,POINT(-3.7060216 40.4193377)
"plaza Príncipes de España, 2",2,es,flat,,12117,Parque Lisboa - La Paz,True,AR394i,2,True,False,True,False,False,40.350982,-3.818339,Alcorcón,Parque Lisboa - La Paz,False,23,rent,,,,950.0,7.0,2.6167957E7,flat,Madrid,4,True,130.0,good,"Parque Lisboa - La Paz, Alcorcón","Piso en plaza Príncipes de España, 2",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/0a/43/273372164.jpg,https://www.idealista.com/inmueble/26167957/,POINT(-3.818339 40.350982)
barrio El Viso,2,es,flat,,3505,Chamartín,True,AM1811072,4,False,False,True,True,True,40.4420139,-3.6795448,Madrid,El Viso,False,18,rent,,,,2000.0,22.0,8.3344795E7,flat,Madrid,2,False,90.0,good,"El Viso, Madrid",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/b6/3f/616208844.jpg,https://www.idealista.com/inmueble/83344795/,POINT(-3.6795448 40.4420139)
barrio Bellas Vistas,1,es,flat,penthouse,4541,Tetuán,True,AM1811079,7,False,False,True,True,True,40.4574591,-3.7065402,Madrid,Bellas Vistas,False,17,rent,,,,1150.0,32.0,8.3366616E7,penthouse,Madrid,1,False,36.0,good,"Bellas Vistas, Madrid",Ático,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/3f/61/616633357.jpg,https://www.idealista.com/inmueble/83366616/,POINT(-3.7065402 40.4574591)
